Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_Type,Product_Category,Product,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_Method
2022-03-26 22:09:52,02:21:38,4,efc12098-cab4-4776-89ea-dfc6a9155d6a,Female,Desktop,Guest,Home Appliances,media,628.93,1,4.4,92.67,14.1,Low,Cash on Delivery
2023-03-04 14:35:34,07:15:08,29,a9f95291-b931-4b0e-8cc3-fa98fa313240,Female,Tablet,Social Media,Clothing,west,802.95,5,82.31,63.84,12.12,High,PayPal
2023-04-06 22:13:39,04:22:55,21,19d46e78-fc1a-47ea-a389-bfc0bb556f8e,Female,Mobile,Email,Home Appliances,relate,786.7,3,204.6,47.53,12.26,Low,Cash on Delivery
2023-08-20 22:45:04,01:28:37,3,a3991d16-6af9-46e8-8331-b59e080a93fc,Male,Mobile,Email,Clothing,notice,358.76,3,105.94,45.87,19.5,High,PayPal
2023-01-28 17:48:23,21:43:39,16,2bc9518c-ab0f-40e9-9fee-4d0530034170,Female,Mobile,Social Media,Home Appliances,include,584.25,1,93.87,77.91,4.55,Low,Credit Card
2022-11-29 18:42:45,16:33:42,17,4ebc5fd8-50b9-4bd5-b03e-3ee4c228b57e,Female,Desktop,Email,Home Appliances,Republican,159.85,3,34.29,7.39,2.26,Low,Credit Card
2023-09-04 11:00:14,17:41:34,11,d407b686-b8a9-4143-b44d-1c8e82caf122,Female,Tablet,Email,Electronics,Democrat,99.29,1,16.97,8.35,12.4,Low,Cash on Delivery
2022-10-31 12:37:19,04:51:22,29,78c9f29d-ec74-4926-9117-dae695e18242,Female,Mobile,Email,Clothing,new,11.36,2,0.96,0.22,16.46,Medium,Cash on Delivery
2022-02-24 05:43:07,11:30:27,6,e5d6849a-97d3-4633-9336-6bf9ef05866a,Male,Mobile,Email,Electronics,beyond,78.46,2,0.51,10.69,8.27,Medium,Cash on Delivery
2022-08-04 11:47:08,12:23:32,30,05a06fdf-8d85-4b91-9024-5716e7257973,Male,Tablet,Social Media,Electronics,back,424.26,5,32.04,58.29,11.67,High,Credit Card
2023-06-07 16:22:48,11:22:30,30,8a004869-7560-401e-950f-192313a396ac,Female,Desktop,Guest,Books,site,256.93,3,32.13,50.69,7.96,Low,Credit Card
2023-09-13 07:00:17,22:18:43,3,60ea4086-d73f-48eb-a705-9cac2338d34e,Male,Desktop,Email,Home Appliances,claim,746.33,4,133.79,148.93,1.07,Medium,Debit Card
2022-10-19 00:48:01,01:38:50,9,89b3cf87-2e77-4f54-8035-06e8047b43c8,Female,Desktop,Guest,Books,certainly,179.54,1,50.11,12.51,4.25,High,Credit Card
2022-11-16 02:52:02,14:02:49,19,3881205f-672a-4f48-935f-ebec377b1bd8,Male,Mobile,Social Media,Electronics,official,11.92,2,0.43,2.15,8.09,High,PayPal
2022-12-13 14:56:53,02:48:01,14,7f872d2f-900c-4d32-add3-db114061da9c,Female,Mobile,Email,Clothing,on,940.1,4,201.73,93.16,17.8,Low,PayPal
2022-08-20 09:41:12,23:07:33,12,9c5af3af-a9a0-4fcf-a9e3-dd13eb6c3957,Male,Desktop,Email,Clothing,model,850.74,4,42.91,145.66,13.11,Low,PayPal
2023-06-12 10:44:09,08:20:59,19,fd48f1b5-d535-43a7-997c-ba9474a125f2,Male,Mobile,Guest,Electronics,character,949.24,1,7.76,117.67,15.87,Low,Cash on Delivery
2023-04-12 17:56:59,10:01:55,13,de90dffd-e650-4d19-9865-9415b2c544b2,Female,Desktop,Social Media,Electronics,explain,895.57,1,77.23,139.14,16.21,High,Debit Card
2022-10-01 18:43:50,23:06:28,2,ffab5e80-16a2-49c6-ab8a-9cc69ca37208,Male,Mobile,Social Media,Electronics,hair,503.33,3,98.81,68.74,6.73,Low,PayPal
2023-03-07 13:57:22,15:15:09,25,271e5f15-4d4f-4a9d-b952-05dfa14de6f7,Female,Tablet,Guest,Clothing,yet,824.09,4,179.83,85.29,18.7,High,PayPal
2022-08-13 05:18:56,03:31:32,16,de51f1b6-fec2-4a7b-a6f2-ea90be3336c6,Male,Tablet,Guest,Clothing,call,523.94,3,61.79,68.32,8.88,High,Cash on Delivery
2022-03-18 19:30:18,10:04:26,2,b31e243b-a9f5-4164-81c9-964929092e34,Female,Tablet,Guest,Clothing,account,695.08,4,162.34,29.78,18.91,Medium,Debit Card
